Name,RA,Dec,Dist,M_V,R_eff_kpc,Type,vhel,vhelerr,resolve,sigma,serr_low,serr_up,serr_95
Seg1,151.750366,16.0755825,22.90867652767775,-1.3000000000000007,0.02389993223996954,G,203.079,0.832,1,3.982,0.8650000000000002,0.9649999999999999,-999.0
Seg2,34.8225822,20.1625,36.475394692560734,-1.9499999999999993,0.03971170477803673,G,-41.184,0.443,0,-999.0,-999.0,-999.0,2.069
Seg3,320.3794861,19.1178055,16.904409316432634,-0.060000000000002274,0.0021134569623660502,GC,-165.499,0.8,0,-999.0,-999.0,-999.0,3.136
Sext,153.2628326,-1.6133056,85.90135215053961,-8.720000000000002,0.5686479510424147,G,221.873,0.617,1,8.682,0.4800000000000004,0.5389999999999997,-999.0
Sgr,284.0951655,-30.5498868,26.302679918953814,-13.500000000000002,2.6084356416020635,G,142.591,0.907,1,7.763,0.6109999999999998,0.6850000000000005,-999.0
Sgr2,298.17,-22.07,63.97348354826482,-5.210000000000001,0.034348645177826716,GC,-176.059,0.625,1,2.91,0.5510000000000002,0.6619999999999999,-999.0
Ter5,267.00208,-24.779166,6.616068605559991,-9.083,0.0017705734374743951,GC,-80.622,2.315,1,13.806,1.5859999999999985,1.8190000000000008,-999.0
UMa1,158.7705841,51.947979,97.27472237769662,-5.140000000000001,0.23449953873825954,G,-58.571,1.355,1,7.092,0.9969999999999999,1.2790000000000008,-999.0
UMa2,132.8726349,63.1335297,34.673685045253166,-4.42,0.13883324888449247,G,-117.911,1.177,1,6.392,0.9370000000000003,1.085,-999.0
UMi,227.2419586,67.2221375,70.14552984199713,-8.860000000000001,0.37332762534738684,G,-246.17,0.331,1,8.871,0.24900000000000055,0.2519999999999989,-999.0
UNI1,174.708,31.0711,10.0,2.1999999999999993,0.002571985708157684,U,89.63,0.896,0,-999.0,-999.0,-999.0,4.346
W1,162.3436279,51.0500832,38.01893963205613,-2.5299999999999994,0.02742844978198358,G,-13.182,1.091,1,5.475,0.9459999999999997,1.1100000000000003,-999.0
